iter	Logloss
0	0.6927396249
1	0.6923328232
2	0.6919181484
3	0.691514018
4	0.6911072447
5	0.690703342
6	0.6902941454
7	0.6898901951
8	0.6894784775
9	0.6890744865
10	0.6886707516
11	0.6882644268
12	0.6878606435
13	0.6874571918
14	0.6870535407
15	0.6866472838
16	0.6862438009
17	0.6858404237
18	0.6854395457
19	0.6850361507
20	0.6846355004
21	0.6842322601
22	0.6838316284
23	0.6834308943
24	0.6830280116
25	0.6826275513
26	0.6822271589
27	0.6818241216
28	0.6814318299
29	0.681028774
30	0.6806313042
31	0.6802310692
32	0.6798309078
33	0.6794336094
34	0.6790388376
35	0.6786388243
36	0.6782389618
37	0.6778416792
38	0.677444417
39	0.6770499367
40	0.6766529065
41	0.6762558818
42	0.6758589726
43	0.6754699182
44	0.675073117
45	0.6746736746
46	0.6742848437
47	0.6738907527
48	0.6734939683
49	0.6731053442
50	0.672709059
51	0.6723203715
52	0.6719238441
53	0.6715301443
54	0.6711417977
55	0.6707481127
56	0.6703598946
57	0.6699635871
58	0.6695753764
59	0.6691844873
60	0.6687966287
61	0.668403225
62	0.6680178884
63	0.6676247716
64	0.6672396977
65	0.6668465305
66	0.6664613504
67	0.6660763118
68	0.6656833868
69	0.6652984675
70	0.6649109274
71	0.6645235438
72	0.6641388051
73	0.6637488082
74	0.6633640267
75	0.6629796363
76	0.6625923626
77	0.6622079015
78	0.6618261226
79	0.6614418812
80	0.6610548124
81	0.6606707759
82	0.6602892466
83	0.6599077135
84	0.6595209762
85	0.6591370925
86	0.6587557495
87	0.6583772227
88	0.6579961479
89	0.6576070786
90	0.6572287306
91	0.6568477638
92	0.65646955
93	0.6560885385
94	0.655710496
95	0.655329749
96	0.6549491733
97	0.6545711309
98	0.6541932486
99	0.6538154557
100	0.6534377597
101	0.6530600749
102	0.6526825428
103	0.6523048282
104	0.6519274116
105	0.6515472494
106	0.6511725858
107	0.6507952362
108	0.6504207179
109	0.6500408314
110	0.6496663354
111	0.6492919512
112	0.6489150934
113	0.648538053
114	0.6481718458
115	0.647795096
116	0.6474236362
117	0.6470471397
118	0.6466732174
119	0.64629931
120	0.6459307857
121	0.6455596276
122	0.6451860294
123	0.6448123939
124	0.6444416344
125	0.6440707855
126	0.6436974742
127	0.6433267146
128	0.6429614387
129	0.6425908394
130	0.6422151588
131	0.6418527514
132	0.641479589
133	0.64111479
134	0.6407418549
135	0.6403744258
136	0.6400070228
137	0.6396370642
138	0.6392751597
139	0.6389053538
140	0.6385355256
141	0.6381712817
142	0.6378015243
143	0.637439847
144	0.6370704658
145	0.636708986
146	0.6363396458
147	0.635978274
148	0.6356170699
149	0.6352506205
150	0.6348868832
151	0.6345205642
152	0.6341595426
153	0.6337908953
154	0.6334325634
155	0.6330691241
156	0.6327060461
157	0.6323452964
158	0.6319847032
159	0.6316216737
160	0.6312614009
161	0.6309009492
162	0.6305355281
163	0.6301753595
164	0.6298179477
165	0.629457891
166	0.6290953681
167	0.62873815
168	0.6283810735
169	0.6280239373
170	0.627667129
171	0.627304852
172	0.6269455552
173	0.6265886649
174	0.6262320727
175	0.6258754358
176	0.6255190447
177	0.6251652166
178	0.6248035952
179	0.6244499236
180	0.6240937188
181	0.6237375811
182	0.623381488
183	0.6230281144
184	0.6226749271
185	0.6223191023
186	0.6219659299
187	0.6216128916
188	0.6212574095
189	0.6209046394
190	0.6205492094
191	0.6201964766
192	0.6198465303
193	0.619493939
194	0.6191388741
195	0.618794404
196	0.6184395105
197	0.6180898547
